word,synonym,meaning,example,video,
lead (INFORMATION),,a piece of information that allows a discovery to be made or a solution to be found:,A lead from an informer enabled the police to make several arrests.,https://www.youtube.com/embed/SMe-96Z043Y,
the lead,,"The initiative in an action, an example for others to follow.",He lead negotiator for the teachers' union said he wasn't surprised by the vote.,https://www.youtube.com/embed/SMe-96Z043Y,
lead (FOR ANIMAL),"a piece of rope, chain, etc. tied to an animal, especially to a dog at its collar when taking it for a walk",,Please keep your dog on a lead when on the beach.,https://www.youtube.com/embed/SMe-96Z043Y,
lead ELCTRICAL,,a wire covered in plastic and used to connect electrical equipment to the electricity supply,,https://www.youtube.com/embed/SMe-96Z043Y,
go down like a lead balloon,,"If something that you say or show to people goes down like a lead balloon, they do not like it at all",My joke about the alcoholic went down like a lead balloon.,,
leaded window,,a window made from small pieces of glass fastened together with lead strips,The lower storey has close timber studding and an eleven-light leaded window.,,
leaden (GREY),,dark grey,A leaden skies,https://www.youtube.com/embed/yTavvY6sSC8,
leaden (WITHOUT ENERGY),,without energy or feeling,a leaden expression/performance,https://www.youtube.com/embed/yTavvY6sSC8,
the leadership,,the person or people in charge of an organization,There is growing discontent with the leadership.,https://www.youtube.com/embed/VvfKlBfX4tA,
lead-in,,"something that introduces something else, such as the words and music that are used to introduce a television programme",,https://www.youtube.com/embed/V9OGvJfvJAw,
leading edge,,the most advanced position in an area of activity,scientists at the leading edge of cancer research,https://www.youtube.com/embed/id5ZvtFNTX0,
leading hand,Experienced,"the most experienced person in a factory, etc.","A legal leading hand may consist of a single card, a pair, a three-of-a-kind, a four-of-a-kind, or a straight flush.",,
leading light,,an important and respected person in a group or organization,"A leading light in/of the art world, she was a close friend of the director",https://www.youtube.com/embed/Yj-iQCfa2g0,
Word -lead poisoning,,illness caused by eating or drinking something that that contains the metal lead,"Such a speck would fit on the head of a matchstick, but over time that is enough to cause serious lead poisoning.",https://www.youtube.com/embed/3VuZamWYaHE,
be in leaf/come into leaf,,"When a plant is in leaf or when it comes into leaf, it has or gets leaves on it",The trees are in leaf early this year.,,
leaf,Publishing: paper & stationery,a thin sheet of paper,,https://www.youtube.com/embed/cWLf1RJvEJ0,
leaf (TABLE),,an extra part of a table that can be folded away when not being used,When first instars reached terminal leaves they tended to stay for longer.,https://www.youtube.com/embed/cWLf1RJvEJ0,
take a leaf out of sb's book,,to copy something that someone else does because it will bring you advantages,Maybe I should take a leaf out of Rick's book and start coming in early every morning,,
leaf through sth,Reading,"to quickly turn the pages of a book or a magazine, reading only a little of it",The waiting room was full of people leafing through magazines.,,
leaflet,Advertising and marketing,"a piece of paper, or several pieces of paper folded together, that gives information or advertises something",They were handing out leaflets outside the supermarket about the school board election.,https://www.youtube.com/embed/d_Vb-pZdqV4,
